Model	Threads	PeakMemory(MB)	CPU(%)	WallTime(s)	NumHits
RF00177.cm	1	977.37	100	9:08.52	180
RF00177.cm	2	1783.93	200	4:28.72	180
RF00177.cm	4	2933.22	392	2:16.90	180
RF00177.cm	8	4368.79	750	1:11.44	180
RF00177.cm	16	6299.35	1391	0:38.84	180
RF00177.cm	32	9101.84	2438	0:25.02	180
RF01960.cm	1	1581.72	100	13:51.12	180
RF01960.cm	2	2607.81	200	6:56.42	180
RF01960.cm	4	4014.55	397	3:29.66	180
RF01960.cm	8	7309.88	782	1:46.38	180
RF01960.cm	16	10629.60	1297	1:04.45	180
RF01960.cm	32	16023.50	2091	0:44.86	180
