task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	52/9f6c14	1552031	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10)	COMPLETED	0	2025-07-24 13:13:32.405	973ms	788ms	28.7%	5.9 MB	40.4 MB	279.6 MB	279.5 MB
2	cb/a86341	1552043	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10)	COMPLETED	0	2025-07-24 13:13:32.490	931ms	743ms	31.8%	5.5 MB	40.4 MB	280.2 MB	280.1 MB
3	51/f1051b	1552077	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10)	COMPLETED	0	2025-07-24 13:13:32.539	882ms	721ms	30.1%	5.8 MB	40.4 MB	281.9 MB	281.8 MB
6	d3/a4247e	1552384	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 13:13:33.465	39s	38.9s	730.8%	4 GB	4.7 GB	561.2 MB	231.2 KB
4	11/3f181e	1552377	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 13:13:33.450	39.8s	39.6s	698.2%	3.4 GB	3.9 GB	560.1 MB	229.1 KB
9	ae/4f0547	1552407	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 13:13:33.488	1m 1s	1m	736.3%	7 GB	7.8 GB	564.9 MB	181.5 KB
10	d3/838cf0	1557700	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 13:14:34.124	3.4s	2.8s	64.4%	65.2 MB	4.2 GB	14.4 MB	6.8 KB
12	be/0e5197	1557714	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 13:14:34.233	3.3s	2.4s	76.9%	69.5 MB	4.2 GB	14.3 MB	4.5 KB
11	b5/8af703	1557702	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 13:14:34.176	3.4s	2.7s	65.3%	66.8 MB	4.2 GB	14.4 MB	6.5 KB
14	51/d260c2	1558471	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 13:14:37.606	1.4s	749ms	71.4%	2.9 MB	20.3 MB	282 MB	3 KB
